city,house_title,house_type,price,owner_name,no_of_reviews,rating,url,no_of_guest,house_size,no_of_beds,no_of_baths,rooms,beds,bath
Purgatory Resort,"House 25miles north of Durango, Co",Casa entera,3069.0,Paul,186,5.0,https://www.airbnb.mx/rooms/3308815?location=Purgatory%20Resort&previous_page_section_name=1000,6.0, '2 recámaras', '3 camas', '1 baño completo y uno de tocador',2.0,3.0,1.0
Purgatory Resort,Purgatory Lodge - Ski In/Out,Condominio completo,4228.0,Terry,4,5.0,https://www.airbnb.mx/rooms/30371319?location=Purgatory%20Resort&previous_page_section_name=1000,8.0, '3 recámaras', '4 camas', '3 baños',3.0,4.0,3.0
Purgatory Resort,Summertime Fun Condo for Families & Couples,Condominio completo,1911.0,Rob Or Scott,22,4.5,https://www.airbnb.mx/rooms/28430937?location=Purgatory%20Resort&previous_page_section_name=1000,10.0, '3 recámaras', '7 camas', '3 baños',3.0,7.0,3.0
Purgatory Resort,Walk-to-lift condo w/ mountain view balcony & shared hot tub!,Condominio completo,2104.0,Vacasa Colorado,4,5.0,https://www.airbnb.mx/rooms/34684365?location=Purgatory%20Resort&previous_page_section_name=1000,5.0, '1 recámara', '3 camas', '1 baño',1.0,3.0,1.0
Purgatory Resort,"Silverpick #213, Purgatory Ski Resort Area Durango",Departamento entero,1911.0,Jayson,24,5.0,https://www.airbnb.mx/rooms/14831669?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Purgatory Resort,Angelhaus Purgatory Newly Renovated Condo,Condominio completo,2413.0,Laurie,21,5.0,https://www.airbnb.mx/rooms/9401244?location=Purgatory%20Resort&previous_page_section_name=1000,5.0, '1 recámara', '3 camas', '1 baño',1.0,3.0,1.0
Purgatory Resort,Magnificient Views from our Hot Tub & 4 Bed 4 Bath,Condominio completo,2896.0,Rob Or Scott,16,5.0,https://www.airbnb.mx/rooms/28963889?location=Purgatory%20Resort&previous_page_section_name=1000,14.0, '4 recámaras', '10 camas', '4 baños',4.0,10.0,4.0
Purgatory Resort,"Cozy 2 Bed/2 Bath Condo, Steps to the Slopes",Condominio completo,2896.0,Barbara,14,5.0,https://www.airbnb.mx/rooms/27992770?location=Purgatory%20Resort&previous_page_section_name=1000,7.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Purgatory Resort,4th Floor Studio - Vews - Deck - Ski in/Ski Out - Affordable,Departamento entero,1448.0,Premier Vacation Rentals,6,4.5,https://www.airbnb.mx/rooms/16253088?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Purgatory Resort,Mountain Ski Condo,Casa entera,1448.0,Carla,63,5.0,https://www.airbnb.mx/rooms/18121840?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Purgatory Resort,Completely Remodeled Ski in/Ski Out condo - Amazing Views and Great Deck,Departamento entero,2432.0,Premier Vacation Rentals,5,4.5,https://www.airbnb.mx/rooms/21498574?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '2 baños',1.0,2.0,2.0
Purgatory Resort,SLOPESIDE 2 BEDROOM-2 BATH Great value,Condominio completo,2413.0,Rick,20,5.0,https://www.airbnb.mx/rooms/10624630?location=Purgatory%20Resort&previous_page_section_name=1000,6.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Purgatory Resort,PRIVATE SLOPE-SIDE WITH BEST VIEWS ON THE MOUNTAIN,Alojamiento entero,1911.0,Regina,8,4.5,https://www.airbnb.mx/rooms/23749824?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '1 recámara', '3 camas', '1 baño',1.0,3.0,1.0
